b'1681',b'You So Crazy (1994)'
b'357',"b""One Flew Over the Cuckoo's Nest (1975)"""
b'74',b'Faster Pussycat! Kill! Kill! (1965)'
b'517',b'Manhattan (1979)'
b'1095',b'High School High (1996)'
b'1043',b'Rent-a-Kid (1995)'
b'573',b'Body Snatchers (1993)'
b'601',b'For Whom the Bell Tolls (1943)'
b'1331',"b'Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)'"
b'1584',"b'Symphonie pastorale, La (1946)'"
b'1621',b'Butterfly Kiss (1995)'
b'970',b'Hear My Song (1991)'
b'1407',"b'Specialist, The (1994)'"
b'1379',b'Love and Other Catastrophes (1996)'
b'566',b'Clear and Present Danger (1994)'
b'767',"b'Addiction, The (1995)'"
b'373',b'Judge Dredd (1995)'
b'1225',b'Angus (1995)'
b'694',b'Persuasion (1995)'
b'1520',"b'Fear, The (1995)'"
b'174',b'Raiders of the Lost Ark (1981)'
b'1026',"b'Lay of the Land, The (1997)'"
b'1367',b'Faust (1994)'
b'516',b'Local Hero (1983)'
b'604',b'It Happened One Night (1934)'
b'933',"b'Funeral, The (1996)'"
b'89',b'Blade Runner (1982)'
b'75',b'Brother Minister: The Assassination of Malcolm X (1994)'
b'272',b'Good Will Hunting (1997)'
b'945',b'Charade (1963)'
b'1163',"b'Portrait of a Lady, The (1996)'"
b'1420',"b""Gilligan's Island: The Movie (1998)"""
b'1345',"b'Day the Sun Turned Cold, The (Tianguo niezi) (1994)'"
b'557',b'Farinelli: il castrato (1994)'
b'129',b'Bound (1996)'
b'22',b'Braveheart (1995)'
b'1560',b'Clean Slate (Coup de Torchon) (1981)'
b'46',b'Exotica (1994)'
b'977',"b'Substitute, The (1996)'"
b'209',b'This Is Spinal Tap (1984)'
b'681',b'Wishmaster (1997)'
b'1195',b'Strawberry and Chocolate (Fresa y chocolate) (1993)'
b'213',"b'Room with a View, A (1986)'"
b'79',"b'Fugitive, The (1993)'"
b'300',b'Air Force One (1997)'
b'370',b'Mary Reilly (1996)'
b'988',"b'Beautician and the Beast, The (1997)'"
b'1126',"b'Old Man and the Sea, The (1958)'"
b'139',"b'Love Bug, The (1969)'"
b'574',b'Boxing Helena (1993)'
b'154',"b""Monty Python's Life of Brian (1979)"""
b'429',"b'Day the Earth Stood Still, The (1951)'"
b'630',"b'Great Race, The (1965)'"
b'683',b'Rocket Man (1997)'
b'461',b'Smoke (1995)'
b'1172',"b'Women, The (1939)'"
b'1032',b'Little Big League (1994)'
b'1174',b'Caught (1996)'
b'715',b'To Die For (1995)'
b'495',b'Around the World in 80 Days (1956)'
b'737',b'Sirens (1994)'
b'900',b'Kundun (1997)'
b'883',b'Telling Lies in America (1997)'
b'1030',"b'Beverly Hillbillies, The (1993)'"
b'251',b'Shall We Dance? (1996)'
b'561',"b""Mary Shelley's Frankenstein (1994)"""
b'446',b'Burnt Offerings (1976)'
b'1203',b'Top Hat (1935)'
b'711',"b'Substance of Fire, The (1996)'"
b'1647',b'Hana-bi (1997)'
b'476',"b'First Wives Club, The (1996)'"
b'5',b'Copycat (1995)'
b'437',"b""Amityville 1992: It's About Time (1992)"""
b'1542',"b'Scarlet Letter, The (1926)'"
b'544',"b""Things to Do in Denver when You're Dead (1995)"""
b'1624',b'Hush (1998)'
b'718',b'In the Bleak Midwinter (1995)'
b'931',"b'Island of Dr. Moreau, The (1996)'"
b'1375',"b'Cement Garden, The (1993)'"
b'279',b'Once Upon a Time... When We Were Colored (1995)'
b'1477',b'Nightwatch (1997)'
b'652',b'Rosencrantz and Guildenstern Are Dead (1990)'
b'810',"b'Shadow, The (1994)'"
b'732',b'Dave (1993)'
b'595',"b'Fan, The (1996)'"
b'298',b'Face/Off (1997)'
b'1055',"b'Simple Twist of Fate, A (1994)'"
b'168',b'Monty Python and the Holy Grail (1974)'
b'1101',b'Six Degrees of Separation (1993)'
b'1175',b'Hugo Pool (1997)'
b'1330',b'An Unforgettable Summer (1994)'
b'862',b'Jingle All the Way (1996)'
b'30',b'Belle de jour (1967)'
b'710',b'Better Off Dead... (1985)'
b'627',b'Robin Hood: Prince of Thieves (1991)'
b'555',"b""White Man's Burden (1995)"""
b'1446',"b'Bye Bye, Love (1995)'"
b'1261',"b'Run of the Country, The (1995)'"
b'1411',b'Barbarella (1968)'
b'1451',b'Foreign Correspondent (1940)'
b'85',"b'Ref, The (1994)'"
b'1006',b'Until the End of the World (Bis ans Ende der Welt) (1991)'
b'121',b'Independence Day (ID4) (1996)'
b'871',b'Vegas Vacation (1997)'
b'1344',"b'Story of Xinghua, The (1993)'"
b'639',"b'Tin Drum, The (Blechtrommel, Die) (1979)'"
b'1286',b'Shall We Dance? (1937)'
b'1269',b'Love in the Afternoon (1957)'
b'463',"b'Secret of Roan Inish, The (1994)'"
b'765',b'Boomerang (1992)'
b'959',b'Dazed and Confused (1993)'
b'163',"b'Return of the Pink Panther, The (1974)'"
b'926',b'Down Periscope (1996)'
b'750',b'Amistad (1997)'
b'485',b'My Fair Lady (1964)'
b'610',b'Gigi (1958)'
b'1131',b'Safe (1995)'
b'268',b'Chasing Amy (1997)'
b'577',b'Coneheads (1993)'
b'625',"b'Sword in the Stone, The (1963)'"
b'102',"b'Aristocats, The (1970)'"
b'72',"b'Mask, The (1994)'"
b'391',b'Last Action Hero (1993)'
b'833',b'Bulletproof (1996)'
b'1192',"b'Boys of St. Vincent, The (1993)'"
b'899',"b'Winter Guest, The (1997)'"
b'1241',"b'Van, The (1996)'"
b'183',b'Alien (1979)'
b'1609',b'B*A*P*S (1997)'
b'1655',"b'Favor, The (1994)'"
b'989',"b""Cats Don't Dance (1997)"""
b'128',b'Supercop (1992)'
b'1270',b'Life with Mikey (1993)'
b'529',b'My Life as a Dog (Mitt liv som hund) (1985)'
b'1622',"b'Paris, France (1993)'"
b'1288',b'Denise Calls Up (1995)'
b'693',b'Casino (1995)'
b'143',"b'Sound of Music, The (1965)'"
b'346',b'Jackie Brown (1997)'
b'1575',"b'I, Worst of All (Yo, la peor de todas) (1990)'"
b'124',b'Lone Star (1996)'
b'1533',"b""I Don't Want to Talk About It (De eso no se habla) (1993)"""
b'297',"b""Ulee's Gold (1997)"""
b'1074',b'Reality Bites (1994)'
b'1468',"b'Cure, The (1995)'"
b'1363',"b'Leopard Son, The (1996)'"
b'165',b'Jean de Florette (1986)'
b'1133',b'Escape to Witch Mountain (1975)'
b'1166',b'Love & Human Remains (1993)'
b'1066',b'Balto (1995)'
b'195',"b'Terminator, The (1984)'"
b'792',b'Bullets Over Broadway (1994)'
b'1445',b'Ladybird Ladybird (1994)'
b'917',b'Mercury Rising (1998)'
b'743',"b'Crow: City of Angels, The (1996)'"
b'687',"b""McHale's Navy (1997)"""
b'563',"b""Stephen King's The Langoliers (1995)"""
b'1523',"b'Good Man in Africa, A (1994)'"
b'1207',b'Jade (1995)'
b'776',b'Three Wishes (1995)'
b'1613',b'Tokyo Fist (1995)'
b'11',b'Seven (Se7en) (1995)'
b'1480',b'Herbie Rides Again (1974)'
b'761',b'Nick of Time (1995)'
b'1574',"b""Pharaoh's Army (1995)"""
b'1634',b'Etz Hadomim Tafus (Under the Domin Tree) (1994)'
b'579',b'Fatal Instinct (1993)'
b'633',"b'Christmas Carol, A (1938)'"
b'738',b'Threesome (1994)'
b'680',b'Kull the Conqueror (1997)'
b'782',b'Little Odessa (1994)'
b'490',b'To Catch a Thief (1955)'
b'1297',b'Love Affair (1994)'
b'709',b'Strictly Ballroom (1992)'
b'348',b'Desperate Measures (1998)'
b'1438',b'Panther (1995)'
b'1145',b'Blue Chips (1994)'
b'1219',"b'Goofy Movie, A (1995)'"
b'1351',"b""Lover's Knot (1996)"""
b'227',b'Star Trek VI: The Undiscovered Country (1991)'
b'1400',b'Picture Bride (1995)'
b'103',b'All Dogs Go to Heaven 2 (1996)'
b'470',b'Tombstone (1993)'
b'242',b'Kolya (1996)'
b'1597',b'Romper Stomper (1992)'
b'961',b'Orlando (1993)'
b'1295',b'Kicked in the Head (1997)'
b'259',b'George of the Jungle (1997)'
b'1051',"b'Associate, The (1996)'"
b'166',b'Manon of the Spring (Manon des sources) (1986)'
b'375',b'Showgirls (1995)'
b'826',"b'Phantom, The (1996)'"
b'1324',b'Loaded (1994)'
b'1486',b'Girl in the Cadillac (1995)'
b'459',"b'Cry, the Beloved Country (1995)'"
b'1334',b'Somebody to Love (1994)'
b'757',b'Across the Sea of Time (1995)'
b'1108',b'Feast of July (1995)'
b'1018',b'Tie Me Up! Tie Me Down! (1990)'
b'455',"b""Jackie Chan's First Strike (1996)"""
b'55',"b'Professional, The (1994)'"
b'1582',b'T-Men (1947)'
b'1124',"b'Farewell to Arms, A (1932)'"
b'494',b'His Girl Friday (1940)'
b'733',b'Go Fish (1994)'
b'198',b'Nikita (La Femme Nikita) (1990)'
b'716',b'Home for the Holidays (1995)'
b'353',b'Deep Rising (1998)'
b'790',b'Tommy Boy (1995)'
b'23',b'Taxi Driver (1976)'
b'1152',b'In Love and War (1996)'
b'18',"b'White Balloon, The (1995)'"
b'218',b'Cape Fear (1991)'
b'700',b'Miami Rhapsody (1995)'
b'331',"b'Edge, The (1997)'"
b'340',b'Boogie Nights (1997)'
b'70',b'Four Weddings and a Funeral (1994)'
b'1294',b'Ayn Rand: A Sense of Life (1997)'
b'690',b'Seven Years in Tibet (1997)'
b'551',b'Lord of Illusions (1995)'
b'1402',"b'Ciao, Professore! (1993)'"
b'1027',"b'Shooter, The (1995)'"
b'1184',"b'Endless Summer 2, The (1994)'"
b'1111',b'Double Happiness (1994)'
b'1000',b'Lightning Jack (1994)'
b'122',"b'Cable Guy, The (1996)'"
b'986',b'Turbulence (1997)'
b'172',"b'Empire Strikes Back, The (1980)'"
b'1280',b'Gang Related (1997)'
b'196',b'Dead Poets Society (1989)'
b'1636',b'Brothers in Trouble (1995)'
b'87',b'Searching for Bobby Fischer (1993)'
b'157',b'Platoon (1986)'
b'203',b'Unforgiven (1992)'
b'1308',b'Babyfever (1994)'
b'891',b'Bent (1997)'
b'641',b'Paths of Glory (1957)'
b'636',b'Escape from New York (1981)'
b'1316',"b'Horse Whisperer, The (1998)'"
b'1383',"b'Second Jungle Book: Mowgli & Baloo, The (1997)'"
b'1056',b'Cronos (1992)'
b'1275',b'Killer (Bulletproof Heart) (1994)'
b'1194',b'Once Were Warriors (1994)'
b'1157',"b'Relic, The (1997)'"
b'249',b'Austin Powers: International Man of Mystery (1997)'
b'330',b'187 (1997)'
b'1099',"b'Red Firecracker, Green Firecracker (1994)'"
b'1348',b'Every Other Weekend (1990)'
b'972',b'Passion Fish (1992)'
b'1657',b'Target (1995)'
b'96',b'Terminator 2: Judgment Day (1991)'
b'430',b'Duck Soup (1933)'
b'345',b'Deconstructing Harry (1997)'
b'1680',b'Sliding Doors (1998)'
b'326',b'G.I. Jane (1997)'
b'1057',"b'Pallbearer, The (1996)'"
b'1154',b'Alphaville (1965)'
b'1024',b'Mrs. Dalloway (1997)'
b'947',"b'Big Blue, The (Grand bleu, Le) (1988)'"
b'1028',b'Grumpier Old Men (1995)'
b'467',"b'Bronx Tale, A (1993)'"
b'1325',b'August (1996)'
b'1509',b'Getting Even with Dad (1994)'
b'975',b'Fear (1996)'
b'339',b'Mad City (1997)'
b'538',b'Anastasia (1997)'
b'315',b'Apt Pupil (1998)'
b'1493',"b'Modern Affair, A (1995)'"
b'1499',b'Grosse Fatigue (1994)'
b'1525',"b'Object of My Affection, The (1998)'"
b'877',b'Excess Baggage (1997)'
b'344',"b'Apostle, The (1997)'"
b'1019',"b'Die xue shuang xiong (Killer, The) (1989)'"
b'1117',b'Surviving Picasso (1996)'
b'672',b'Candyman (1992)'
b'996',"b'Big Green, The (1995)'"
b'1531',b'Far From Home: The Adventures of Yellow Dog (1995)'
b'1444',b'That Darn Cat! (1965)'
b'1258',b'Trial and Error (1997)'
b'1508',"b'Babysitter, The (1995)'"
b'558',b'Heavenly Creatures (1994)'
b'402',b'Ghost (1990)'
b'108',b'Kids in the Hall: Brain Candy (1996)'
b'229',b'Star Trek III: The Search for Spock (1984)'
b'1040',b'Two if by Sea (1996)'
b'475',b'Trainspotting (1996)'
b'42',b'Clerks (1994)'
b'1169',b'Fresh (1994)'
b'349',b'Hard Rain (1998)'
b'1063',"b'Little Princess, A (1995)'"
b'774',"b'Prophecy, The (1995)'"
b'735',b'Philadelphia (1993)'
b'1516',"b'Wedding Gift, The (1994)'"
b'1412',b'Land Before Time III: The Time of the Great Giving (1995) (V)'
b'1529',b'Underground (1995)'
b'1569',"b'Vie est belle, La (Life is Rosey) (1987)'"
b'857',b'Paris Was a Woman (1995)'
b'723',b'Boys on the Side (1995)'
b'881',b'Money Talks (1997)'
b'83',b'Much Ado About Nothing (1993)'
b'1362',b'American Strays (1996)'
b'270',b'Gattaca (1997)'
b'1666',b'Ripe (1996)'
b'104',b'Theodore Rex (1995)'
b'1079',"b""Joe's Apartment (1996)"""
b'1097',"b'Hate (Haine, La) (1995)'"
b'452',b'Jaws 2 (1978)'
b'364',b'Ace Ventura: When Nature Calls (1995)'
b'501',b'Dumbo (1941)'
b'1013',b'Anaconda (1997)'
b'1',b'Toy Story (1995)'
b'419',b'Mary Poppins (1964)'
b'337',"b'House of Yes, The (1997)'"
b'1302',b'Late Bloomers (1996)'
b'1371',"b'Machine, The (1994)'"
b'910',b'Nil By Mouth (1997)'
b'1535',"b""Enfer, L' (1994)"""
b'282',"b'Time to Kill, A (1996)'"
b'456',b'Beverly Hills Ninja (1997)'
b'656',b'M (1931)'
b'1431',b'Legal Deceit (1997)'
b'582',"b'Piano, The (1993)'"
b'546',b'Broken Arrow (1996)'
b'967',b'Little Lord Fauntleroy (1936)'
b'1378',b'Rhyme & Reason (1997)'
b'699',b'Little Women (1994)'
b'264',b'Mimic (1997)'
b'408',"b'Close Shave, A (1995)'"
b'404',b'Pinocchio (1940)'
b'667',b'Audrey Rose (1977)'
b'412',"b'Very Brady Sequel, A (1996)'"
b'894',b'Home Alone 3 (1997)'
b'1528',b'Nowhere (1997)'
b'804',b'Jimmy Hollywood (1994)'
b'224',b'Ridicule (1996)'
b'1023',"b""Fathers' Day (1997)"""
b'1419',b'Highlander III: The Sorcerer (1994)'
b'276',b'Leaving Las Vegas (1995)'
b'167',b'Private Benjamin (1980)'
b'925',b'Unforgettable (1996)'
b'851',b'Two or Three Things I Know About Her (1966)'
b'285',b'Secrets & Lies (1996)'
b'504',b'Bonnie and Clyde (1967)'
b'1425',"b""I'll Do Anything (1994)"""
b'1289',b'Jack and Sarah (1995)'
b'1161',b'Palookaville (1996)'
b'1462',"b'Thieves (Voleurs, Les) (1996)'"
b'107',b'Moll Flanders (1996)'
b'1652',b'Temptress Moon (Feng Yue) (1996)'
b'800',b'In the Mouth of Madness (1995)'
b'53',b'Natural Born Killers (1994)'
b'1418',"b'Joy Luck Club, The (1993)'"
b'908',b'Half Baked (1998)'
b'120',b'Striptease (1996)'
b'286',"b'English Patient, The (1996)'"
b'1502',b'Naked in New York (1994)'
b'1134',b'Get on the Bus (1996)'
b'403',b'Batman (1989)'
b'482',b'Some Like It Hot (1959)'
b'1151',b'Original Gangstas (1996)'
b'1591',b'Duoluo tianshi (1995)'
b'392',"b'Man Without a Face, The (1993)'"
b'756',b'Father of the Bride Part II (1995)'
b'478',"b'Philadelphia Story, The (1940)'"
b'803',b'Heaven & Earth (1993)'
b'791',"b'Baby-Sitters Club, The (1995)'"
b'592',b'True Crime (1995)'
b'827',b'Daylight (1996)'
b'99',b'Snow White and the Seven Dwarfs (1937)'
b'1004',b'Geronimo: An American Legend (1993)'
b'130',b'Kansas City (1996)'
b'786',"b'Perez Family, The (1995)'"
b'1664',b'8 Heads in a Duffel Bag (1997)'
b'465',"b'Jungle Book, The (1994)'"
b'158',"b""Weekend at Bernie's (1989)"""
b'1015',b'Shiloh (1997)'
b'480',b'North by Northwest (1959)'
b'795',b'Richie Rich (1994)'
b'1150',b'Last Dance (1996)'
b'762',b'Beautiful Girls (1996)'
b'1142',b'When We Were Kings (1996)'
b'1268',b'Bitter Moon (1992)'
b'1410',b'Harlem (1993)'
b'477',b'Matilda (1996)'
b'635',"b'Fog, The (1980)'"
b'659',b'Arsenic and Old Lace (1944)'
b'1453',b'Angel on My Shoulder (1946)'
b'946',"b'Fox and the Hound, The (1981)'"
b'1464',"b'Stars Fell on Henrietta, The (1995)'"
b'653',b'Touch of Evil (1958)'
b'288',b'Scream (1996)'
b'938',"b'Smile Like Yours, A (1997)'"
b'670',b'Body Snatchers (1993)'
b'253',"b'Pillow Book, The (1995)'"
b'674',b'Cat People (1982)'
b'407',b'Spy Hard (1996)'
b'575',"b""City Slickers II: The Legend of Curly's Gold (1994)"""
b'1149',b'Walkabout (1971)'
b'98',"b'Silence of the Lambs, The (1991)'"
b'884',b'Year of the Horse (1997)'
b'9',b'Dead Man Walking (1995)'
b'468',b'Rudy (1993)'
b'1300',"b""'Til There Was You (1997)"""
b'258',b'Contact (1997)'
b'1456',b'Beat the Devil (1954)'
b'1604',b'He Walked by Night (1948)'
b'787',b'Roommates (1995)'
b'564',b'Tales from the Hood (1995)'
b'1481',b'S.F.W. (1994)'
b'405',b'Mission: Impossible (1996)'
b'725',b'Exit to Eden (1994)'
b'863',"b'Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)'"
b'1638',b'Normal Life (1996)'
b'747',b'Benny & Joon (1993)'
b'100',b'Fargo (1996)'
b'886',"b'Life Less Ordinary, A (1997)'"
b'114',b'Wallace & Gromit: The Best of Aardman Animation (1996)'
b'170',b'Cinema Paradiso (1988)'
b'247',b'Turbo: A Power Rangers Movie (1997)'
b'952',b'Blue in the Face (1995)'
b'386',b'Addams Family Values (1993)'
b'318',"b""Schindler's List (1993)"""
b'1485',"b'Colonel Chabert, Le (1994)'"
b'1341',b'Hedd Wyn (1992)'
b'1478',b'Dead Presidents (1995)'
b'634',"b""Microcosmos: Le peuple de l'herbe (1996)"""
b'521',"b'Deer Hunter, The (1978)'"
b'1147',b'My Family (1995)'
b'1135',"b'Doors, The (1991)'"
b'314',b'3 Ninjas: High Noon At Mega Mountain (1998)'
b'1272',b'Talking About Sex (1994)'
b'235',b'Mars Attacks! (1996)'
b'1526',b'Witness (1985)'
b'1255',b'Broken English (1996)'
b'1373',b'Good Morning (1971)'
b'1167',"b'Sum of Us, The (1994)'"
b'1639',b'Bitter Sugar (Azucar Amargo) (1996)'
b'1070',b'Living in Oblivion (1995)'
b'1182',b'Cops and Robbersons (1994)'
b'1010',b'Basquiat (1996)'
b'620',"b'Chamber, The (1996)'"
b'1306',b'Delta of Venus (1994)'
b'973',b'Grateful Dead (1995)'
b'532',b'Kama Sutra: A Tale of Love (1996)'
b'1329',"b'Low Life, The (1994)'"
b'1267',b'Clockers (1995)'
b'1470',b'Gumby: The Movie (1995)'
b'1180',b'I Love Trouble (1994)'
b'759',b'Fair Game (1995)'
b'1593',b'Death in Brunswick (1991)'
b'905',b'Great Expectations (1998)'
b'1217',b'Assassins (1995)'
b'572',b'Blown Away (1994)'
b'1376',b'Meet Wally Sparks (1997)'
b'1188',b'Young Guns II (1990)'
b'1321',b'Open Season (1996)'
b'971',b'Mediterraneo (1991)'
b'299',b'Hoodlum (1997)'
b'1309',"b'Very Natural Thing, A (1974)'"
b'866',b'Michael (1996)'
b'1616',b'Desert Winds (1995)'
b'277',b'Restoration (1995)'
b'1380',b'Hollow Reed (1996)'
b'796',b'Speechless (1994)'
b'591',b'Primal Fear (1996)'
b'67',b'Ace Ventura: Pet Detective (1994)'
b'305',"b'Ice Storm, The (1997)'"
b'1041',b'Forget Paris (1995)'
b'273',b'Heat (1995)'
b'24',b'Rumble in the Bronx (1995)'
b'1488',b'Germinal (1993)'
b'712',b'Tin Men (1987)'
b'54',b'Outbreak (1995)'
b'1327',b'Captives (1994)'
b'612',b'Lost Horizon (1937)'
b'162',b'On Golden Pond (1981)'
b'552',b'Species (1995)'
b'382',"b'Adventures of Priscilla, Queen of the Desert, The (1994)'"
b'1178',b'Major Payne (1994)'
b'152',b'Sleeper (1973)'
b'999',b'Clean Slate (1994)'
b'1202',"b'Maybe, Maybe Not (Bewegte Mann, Der) (1994)'"
b'649',b'Once Upon a Time in America (1984)'
b'1617',b'Hugo Pool (1997)'
b'1058',"b'War, The (1994)'"
b'885',b'Phantoms (1998)'
b'324',b'Lost Highway (1997)'
b'436',"b'American Werewolf in London, An (1981)'"
b'57',b'Priest (1994)'
b'507',"b'Streetcar Named Desire, A (1951)'"
b'990',b'Anna Karenina (1997)'
b'134',b'Citizen Kane (1941)'
b'444',"b'Blob, The (1958)'"
b'698',"b'Browning Version, The (1994)'"
b'1589',b'Schizopolis (1996)'
b'1450',b'Golden Earrings (1947)'
b'1674',b'Mamma Roma (1962)'
b'137',b'Big Night (1996)'
b'117',"b'Rock, The (1996)'"
b'1536',b'Aiqing wansui (1994)'
b'296',"b'Promesse, La (1996)'"
b'1413',b'Street Fighter (1994)'
b'815',b'One Fine Day (1996)'
b'400',"b'Little Rascals, The (1994)'"
b'1060',"b'Adventures of Pinocchio, The (1996)'"
b'1259',b'Pie in the Sky (1995)'
b'602',"b'American in Paris, An (1951)'"
b'889',"b'Tango Lesson, The (1997)'"
b'1653',b'Entertaining Angels: The Dorothy Day Story (1996)'
b'395',b'Robin Hood: Men in Tights (1993)'
b'590',b'Hellraiser: Bloodline (1996)'
b'1374',b'Falling in Love Again (1980)'
b'689',"b'Jackal, The (1997)'"
b'1281',b'Manny & Lo (1996)'
b'481',"b'Apartment, The (1960)'"
b'4',b'Get Shorty (1995)'
b'832',b'Bogus (1996)'
b'554',b'Waterworld (1995)'
b'1559',b'Hostile Intentions (1994)'
b'1260',b'Total Eclipse (1995)'
b'984',b'Shadow Conspiracy (1997)'
b'181',b'Return of the Jedi (1983)'
b'1249',b'For Love or Money (1993)'
b'1382',"b'Bonheur, Le (1965)'"
b'870',b'Touch (1997)'
b'289',b'Evita (1996)'
b'1143',b'Hard Eight (1996)'
b'901',b'Mr. Magoo (1997)'
b'179',"b'Clockwork Orange, A (1971)'"
b'1513',b'Sprung (1997)'
b'118',b'Twister (1996)'
b'332',b'Kiss the Girls (1997)'
b'754',b'Red Corner (1997)'
b'929',b'Harriet the Spy (1996)'
b'484',"b'Maltese Falcon, The (1941)'"
b'998',b'Cabin Boy (1994)'
b'350',b'Fallen (1998)'
b'1337',b'Larger Than Life (1996)'
b'1545',b'Frankie Starlight (1995)'
b'1558',b'Aparajito (1956)'
b'1524',b'Kaspar Hauser (1993)'
b'950',b'Georgia (1995)'
b'1317',"b'Journey of August King, The (1995)'"
b'657',"b'Manchurian Candidate, The (1962)'"
b'1605',b'Love Serenade (1996)'
b'726',b'Fluke (1995)'
b'1020',b'Gaslight (1944)'
b'812',b'Andre (1994)'
b'864',b'My Fellow Americans (1996)'
b'642',"b'Grifters, The (1990)'"
b'61',b'Three Colors: White (1994)'
b'508',"b'People vs. Larry Flynt, The (1996)'"
b'939',b'Murder in the First (1995)'
b'1530',b'Jefferson in Paris (1995)'
b'1626',b'Nobody Loves Me (Keiner liebt mich) (1994)'
b'924',b'White Squall (1996)'
b'596',"b'Hunchback of Notre Dame, The (1996)'"
b'753',b'Burnt By the Sun (1994)'
b'1677',b'Sweet Nothing (1995)'
b'499',b'Cat on a Hot Tin Roof (1958)'
b'1602',"b'Price Above Rubies, A (1998)'"
b'1342',"b'Convent, The (Convento, O) (1995)'"
b'1311',b'Waiting to Exhale (1995)'
b'556',b'Wild Bill (1995)'
b'598',"b'Big Squeeze, The (1996)'"
b'220',"b'Mirror Has Two Faces, The (1996)'"
b'1047',b'Multiplicity (1996)'
b'736',b'Shadowlands (1993)'
b'511',b'Lawrence of Arabia (1962)'
b'197',"b'Graduate, The (1967)'"
b'542',b'Pocahontas (1995)'
b'110',b'Operation Dumbo Drop (1995)'
b'1399',b'Stranger in the House (1997)'
b'52',"b'Madness of King George, The (1994)'"
b'363',b'Sudden Death (1995)'
b'828',b'Alaska (1996)'
b'1501',b'Prisoner of the Mountains (Kavkazsky Plennik) (1996)'
b'570',b'Wyatt Earp (1994)'
b'811',b'Thirty-Two Short Films About Glenn Gould (1993)'
b'1301',b'Stripes (1981)'
b'1002',"b'Pest, The (1997)'"
b'890',b'Mortal Kombat: Annihilation (1997)'
b'1635',b'Two Friends (1986) '
b'383',"b'Flintstones, The (1994)'"
b'837',b'Meet John Doe (1941)'
b'1577',"b'Death in the Garden (Mort en ce jardin, La) (1956)'"
b'156',b'Reservoir Dogs (1992)'
b'1537',b'Cosi (1996)'
b'204',b'Back to the Future (1985)'
b'1369',"b'Forbidden Christ, The (Cristo proibito, Il) (1950)'"
b'2',b'GoldenEye (1995)'
b'997',b'Stuart Saves His Family (1995)'
b'1012',b'Private Parts (1997)'
b'185',b'Psycho (1960)'
b'1052',b'Dracula: Dead and Loving It (1995)'
b'1641',b'Dadetown (1995)'
b'243',b'Jungle2Jungle (1997)'
b'1199',b'Cemetery Man (Dellamorte Dellamore) (1994)'
b'1265',b'Star Maps (1997)'
b'1171',b'Wild Reeds (1994)'
b'1305',"b""National Lampoon's Senior Trip (1995)"""
b'1552',"b'Hunted, The (1995)'"
b'1660',b'Small Faces (1995)'
b'1001',"b'Stupids, The (1996)'"
b'175',b'Brazil (1985)'
b'62',b'Stargate (1994)'
b'1278',b'Selena (1997)'
b'31',b'Crimson Tide (1995)'
b'789',b'Swimming with Sharks (1995)'
b'1049',b'House Arrest (1996)'
b'705',"b""Singin' in the Rain (1952)"""
b'721',b'Mallrats (1995)'
b'671',b'Bride of Frankenstein (1935)'
b'1257',"b'Designated Mourner, The (1997)'"
b'742',b'Ransom (1996)'
b'898',"b'Postman, The (1997)'"
b'1050',"b'Ghost and Mrs. Muir, The (1947)'"
b'333',"b'Game, The (1997)'"
b'695',b'Kicking and Screaming (1995)'
b'545',b'Vampire in Brooklyn (1995)'
b'536',b'Ponette (1996)'
b'316',b'As Good As It Gets (1997)'
b'578',b'Demolition Man (1993)'
b'858',b'Amityville: Dollhouse (1996)'
b'1196',"b'Savage Nights (Nuits fauves, Les) (1992)'"
b'219',"b'Nightmare on Elm Street, A (1984)'"
b'1678',"b""Mat' i syn (1997)"""
b'1326',b'Boys (1996)'
b'978',"b""Heaven's Prisoners (1996)"""
b'304',b'Fly Away Home (1996)'
b'356',"b'Client, The (1994)'"
b'1553',"b'Underneath, The (1995)'"
b'520',"b'Great Escape, The (1963)'"
b'321',b'Mother (1996)'
b'101',b'Heavy Metal (1981)'
b'1264',b'Nothing to Lose (1994)'
b'518',"b""Miller's Crossing (1990)"""
b'133',b'Gone with the Wind (1939)'
b'1663',b'Nothing Personal (1995)'
b'487',b'Roman Holiday (1953)'
b'927',"b'Flower of My Secret, The (Flor de mi secreto, La) (1995)'"
b'897',b'Time Tracers (1995)'
b'843',"b'Shaggy Dog, The (1959)'"
b'368',b'Bio-Dome (1996)'
b'1247',b'Bad Girls (1994)'
b'25',"b'Birdcage, The (1996)'"
b'109',b'Mystery Science Theater 3000: The Movie (1996)'
b'1092',b'Dear God (1996)'
b'922',b'Dead Man (1995)'
b'783',b'Milk Money (1994)'
b'45',b'Eat Drink Man Woman (1994)'
b'589',"b'Wild Bunch, The (1969)'"
b'1612',"b'Leading Man, The (1996)'"
b'1238',b'Full Speed (1996)'
b'609',b'Father of the Bride (1950)'
b'347',b'Wag the Dog (1997)'
b'427',b'To Kill a Mockingbird (1962)'
b'212',"b'Unbearable Lightness of Being, The (1988)'"
b'97',b'Dances with Wolves (1990)'
b'1416',b'No Escape (1994)'
b'432',b'Fantasia (1940)'
b'112',b'Flipper (1996)'
b'638',"b'Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)'"
b'771',b'Johnny Mnemonic (1995)'
